year,from,to,pop
2022,嘉義縣,花蓮縣,2186
2022,嘉義縣,苗栗縣,2666
2022,嘉義縣,連江縣,86
2022,嘉義縣,金門縣,1168
2022,嘉義縣,雲林縣,25589
2022,嘉義縣,高雄市,61804
2022,基隆市,南投縣,1086
2022,基隆市,嘉義市,616
2022,基隆市,嘉義縣,857
2022,基隆市,基隆市,208651
2022,基隆市,宜蘭縣,3944
2022,基隆市,屏東縣,1391
2022,基隆市,彰化縣,2031
2022,基隆市,新北市,86246
2022,基隆市,新竹市,3057
2022,基隆市,新竹縣,3268
2022,基隆市,桃園市,23104
2022,基隆市,澎湖縣,413
2022,基隆市,臺中市,11563
2022,基隆市,臺北市,45730
2022,基隆市,臺南市,3562
2022,基隆市,臺東縣,925
2022,基隆市,花蓮縣,2031
2022,基隆市,苗栗縣,1747
2022,基隆市,連江縣,374
2022,基隆市,金門縣,1184
2022,基隆市,雲林縣,1462
2022,基隆市,高雄市,9841
2022,宜蘭縣,南投縣,1315
2022,宜蘭縣,嘉義市,614
2022,宜蘭縣,嘉義縣,902
2022,宜蘭縣,基隆市,9106
2022,宜蘭縣,宜蘭縣,356804
2022,宜蘭縣,屏東縣,1390
2022,宜蘭縣,彰化縣,2247
2022,宜蘭縣,新北市,77270
2022,宜蘭縣,新竹市,3711
2022,宜蘭縣,新竹縣,4063
2022,宜蘭縣,桃園市,28054
2022,宜蘭縣,澎湖縣,376
2022,宜蘭縣,臺中市,12365
2022,宜蘭縣,臺北市,43747
2022,宜蘭縣,臺南市,3856
2022,宜蘭縣,臺東縣,1037
2022,宜蘭縣,花蓮縣,6144
2022,宜蘭縣,苗栗縣,1693
2022,宜蘭縣,連江縣,160
2022,宜蘭縣,金門縣,970
2022,宜蘭縣,雲林縣,1519
2022,宜蘭縣,高雄市,7046
2022,屏東縣,南投縣,3236
2022,屏東縣,嘉義市,2379
2022,屏東縣,嘉義縣,3711
2022,屏東縣,基隆市,3059
2022,屏東縣,宜蘭縣,2713
2022,屏東縣,屏東縣,620706
2022,屏東縣,彰化縣,7052
2022,屏東縣,新北市,55791
2022,屏東縣,新竹市,5393
2022,屏東縣,新竹縣,5757
2022,屏東縣,桃園市,35055
2022,屏東縣,澎湖縣,1790
2022,屏東縣,臺中市,35549
2022,屏東縣,臺北市,33287
2022,屏東縣,臺南市,33362
2022,屏東縣,臺東縣,4694
2022,屏東縣,花蓮縣,3507
2022,屏東縣,苗栗縣,3230
2022,屏東縣,連江縣,327
2022,屏東縣,金門縣,3009
2022,屏東縣,雲林縣,4498
2022,屏東縣,高雄市,160730
2022,彰化縣,南投縣,29076
2022,彰化縣,嘉義市,4077
2022,彰化縣,嘉義縣,5891
2022,彰化縣,基隆市,6035
2022,彰化縣,宜蘭縣,3289
2022,彰化縣,屏東縣,5709
2022,彰化縣,彰化縣,1023392
2022,彰化縣,新北市,142245
2022,彰化縣,新竹市,10167
2022,彰化縣,新竹縣,10335
2022,彰化縣,桃園市,49552
2022,彰化縣,澎湖縣,1329
2022,彰化縣,臺中市,198601
2022,彰化縣,臺北市,77802
2022,彰化縣,臺南市,19411
2022,彰化縣,臺東縣,4275
2022,彰化縣,花蓮縣,4008
2022,彰化縣,苗栗縣,7255
2022,彰化縣,連江縣,309
2022,彰化縣,金門縣,2824
2022,彰化縣,雲林縣,20685
2022,彰化縣,高雄市,33340
2022,新北市,南投縣,6411
2022,新北市,嘉義市,4075
2022,新北市,嘉義縣,9813
2022,新北市,基隆市,38666
2022,新北市,宜蘭縣,17117
2022,新北市,屏東縣,7835
2022,新北市,彰化縣,15636
2022,新北市,新北市,1459863
2022,新北市,新竹市,11734
2022,新北市,新竹縣,15932
2022,新北市,桃園市,171852
2022,新北市,澎湖縣,2094
2022,新北市,臺中市,48428
2022,新北市,臺北市,228935
2022,新北市,臺南市,20457
2022,新北市,臺東縣,5838
2022,新北市,花蓮縣,10407
2022,新北市,苗栗縣,10708
2022,新北市,連江縣,1276
2022,新北市,金門縣,9937
2022,新北市,雲林縣,17396
2022,新北市,高雄市,28102
2022,新竹市,南投縣,920
2022,新竹市,嘉義市,612
